Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
336,East North Central,OH,Muskingum,84169,10.1,16903,30010,590375,229
337,East North Central,OH,Noble,12096,5.6,13171,2000,41321,187
338,East North Central,OH,Ottawa,40591,13.5,19845,10811,267163,282
339,East North Central,OH,Paulding,20443,6.9,15787,3823,65900,201
340,East North Central,OH,Perry,33550,5.8,12811,4456,95162,207
341,East North Central,OH,Pickaway,52510,9,15050,10955,244945,263
342,East North Central,OH,Pike,26775,8,13895,7182,127754,210
343,East North Central,OH,Portage,148699,17.6,16847,35580,884412,331
344,East North Central,OH,Preble,42174,7,16134,8071,163720,231
345,East North Central,OH,Putnam,35089,8.8,17751,8485,171221,222
346,East North Central,OH,Richland,128421,11.6,17292,49898,1024308,260
347,East North Central,OH,Ross,73941,9.2,15215,18159,435426,223
348,East North Central,OH,Sandusky,62997,10.7,17835,20639,381261,266
349,East North Central,OH,Scioto,81414,8.5,14152,16563,481157,199
350,East North Central,OH,Seneca,60369,10.1,17026,19268,347979,225
351,East North Central,OH,Shelby,47079,11.2,18521,20572,236230,260
352,East North Central,OH,Stark,375553,14.3,18712,145765,2958269,272
353,East North Central,OH,Summit,530135,19.7,20685,222817,4136610,311
354,East North Central,OH,Trumbull,228417,11.4,19262,81764,1590579,269
355,East North Central,OH,Tuscarawas,87323,9,16147,27966,621327,236
356,East North Central,OH,Union,36528,12,19003,17066,167610,286
357,East North Central,OH,Van Wert,30463,9.3,17225,9610,144486,228
358,East North Central,OH,Vinton,12072,4.8,12731,1560,26764,176
359,East North Central,OH,Warren,131295,18,19415,34319,704278,340
360,East North Central,OH,Washington,63836,13.2,16507,20874,411908,227
361,East North Central,OH,Wayne,107526,13.9,17631,36943,589972,283
362,East North Central,OH,Williams,37846,8.9,18909,15669,200421,245
363,East North Central,OH,Wood,116934,21.9,19393,38216,787250,320
364,East North Central,OH,Wyandot,22732,8.7,16569,7025,99413,213
365,East North Central,WI,Adams,17422,7.4,12894,1723,39635,235
366,East North Central,WI,Ashland,16446,12.8,15230,6572,141607,217
367,East North Central,WI,Barron,42785,11.7,15396,14174,333879,246
368,East North Central,WI,Bayfield,14955,18.3,14782,1864,52168,206
369,East North Central,WI,Brown,210303,17.7,20637,102829,1837369,324
370,East North Central,WI,Buffalo,13980,10.8,17019,3298,42502,202
371,East North Central,WI,Burnett,14164,8.9,13486,2839,71274,205
372,East North Central,WI,Calumet,37369,12.9,17666,11759,200945,284
373,East North Central,WI,Chippewa,54175,10.8,16548,15605,401996,248
374,East North Central,WI,Clark,32660,8.6,14333,6957,119828,194
375,East North Central,WI,Columbia,49113,12.9,17944,14698,343554,279
376,East North Central,WI,Crawford,16552,10.8,14699,5028,114713,217
377,East North Central,WI,Dane,393296,34.2,23193,181932,3647317,423
378,East North Central,WI,Dodge,79375,10.2,16022,26264,425338,290
379,East North Central,WI,Door,26836,16.4,18503,9091,243962,269
380,East North Central,WI,Douglas,42777,14.8,16123,11771,329331,237
381,East North Central,WI,Dunn,38392,19.4,14463,8299,198404,270
382,East North Central,WI,Eau Claire,88488,20.9,17365,34786,785652,284
383,East North Central,WI,Florence,5256,8.9,14217,538,13792,223
384,East North Central,WI,Fond Du Lac,93347,13.3,19899,37826,682958,298
385,East North Central,WI,Forest,9361,7.6,13046,1719,30577,183
386,East North Central,WI,Grant,49432,14.7,15323,12958,305553,227
387,East North Central,WI,Green,32492,12,18983,11662,400352,273
388,East North Central,WI,Green Lake,19326,11.4,17853,6577,121252,231
389,East North Central,WI,Iowa,21701,13.3,16096,7045,839381,235
390,East North Central,WI,Iron,6443,10.5,15221,1682,42134,171
391,East North Central,WI,Jackson,17233,8.8,15364,4374,106090,203
392,East North Central,WI,Jefferson,73001,15.1,18202,28217,390048,308
393,East North Central,WI,Juneau,23528,8.6,14911,6696,135485,224
394,East North Central,WI,Kenosha,139938,12.7,18695,41877,968114,347
395,East North Central,WI,Kewaunee,19448,8.2,16050,4785,88709,204
396,East North Central,WI,La Crosse,101709,21.1,19277,50559,1021504,290
397,East North Central,WI,Lafayette,16544,10.1,14661,2609,56256,213
398,East North Central,WI,Langlade,20478,8.8,15731,5900,154074,227
399,East North Central,WI,Lincoln,28921,10.8,15645,9458,180903,222
400,East North Central,WI,Manitowoc,82507,12.1,17908,30262,468546,232
401,East North Central,WI,Marathon,120776,13.5,18358,51957,928770,301
402,East North Central,WI,Marinette,42273,10.1,16429,14062,250243,221
403,East North Central,WI,Marquette,14045,8.8,14219,2458,54633,228
404,East North Central,WI,Menominee,4601,3.7,0,408,4414,103
405,East North Central,WI,Milwaukee,931242,19.3,21338,465241,7258541,363
406,East North Central,WI,Monroe,38776,10.8,15200,11173,223066,251
407,East North Central,WI,Oconto,32298,8.5,14377,6192,131397,217
408,East North Central,WI,Oneida,34816,14.9,17988,11336,352229,258
409,East North Central,WI,Outagamie,149313,16.7,20589,69637,1298483,327
410,East North Central,WI,Ozaukee,79111,29.7,28317,28778,548610,431
411,East North Central,WI,Pepin,7151,9.6,15523,1652,55855,204
412,East North Central,WI,Pierce,34724,17.8,17534,6912,142234,331
413,East North Central,WI,Polk,37289,11.4,15968,9229,172404,254
414,East North Central,WI,Portage,64704,19.1,16942,22795,457409,309
415,East North Central,WI,Price,15950,10.6,16437,5909,92257,223
416,East North Central,WI,Racine,182892,16.5,21100,70999,1290366,327
417,East North Central,WI,Richland,17895,10.8,14228,3779,103841,229
418,East North Central,WI,Rock,148349,13.3,19233,54342,1183178,303
419,East North Central,WI,Rusk,15345,10.9,13003,3696,64213,205
