Index,Region,State,County,Population,% College Grad,Income per Capita,Employees,Retail Sales,Median Rent
2395,West North Central,MO,Laclede,29111,8,14492,9397,238432,193
2396,West North Central,MO,Lafayette,32191,11.5,16920,6419,145306,212
2397,West North Central,MO,Lawrence,31698,9.7,13963,6156,199773,188
2398,West North Central,MO,Lewis,10219,10.3,14296,1584,28403,157
2399,West North Central,MO,Lincoln,32969,8,15358,4837,144227,236
2400,West North Central,MO,Linn,14004,10.6,15481,4657,74994,150
2401,West North Central,MO,Livingston,14349,12.5,16626,4535,102107,185
2402,West North Central,MO,Macon,15213,11.5,16265,3406,72985,168
2403,West North Central,MO,Madison,11211,6.7,13787,2631,63273,181
2404,West North Central,MO,Maries,8293,8.3,13659,1041,22363,160
2405,West North Central,MO,Marion,27891,12.9,16152,10170,229732,189
2406,West North Central,MO,McDonald,18553,6.6,13526,3477,69471,171
2407,West North Central,MO,Mercer,4087,8.2,11137,438,10403,130
2408,West North Central,MO,Miller,21974,7.5,14434,5800,167267,195
2409,West North Central,MO,Mississippi,13817,7.2,14388,2751,79598,136
2410,West North Central,MO,Moniteau,12985,8.7,15820,2668,74946,178
2411,West North Central,MO,Monroe,8821,8.1,16495,2123,29903,167
2412,West North Central,MO,Montgomery,11609,7.8,16456,2856,49383,176
2413,West North Central,MO,Morgan,17180,7.2,14185,2751,103638,184
2414,West North Central,MO,New Madrid,20711,6.7,13958,5335,102120,143
2415,West North Central,MO,Newton,47529,12.1,15763,13278,216759,210
2416,West North Central,MO,Nodaway,21097,17.5,13470,5432,111993,214
2417,West North Central,MO,Oregon,10029,7.8,12615,1205,59514,132
2418,West North Central,MO,Osage,12374,7.1,16665,2046,74680,163
2419,West North Central,MO,Ozark,9517,8,12516,832,28072,149
2420,West North Central,MO,Pemiscot,21700,6.8,13268,3997,81916,120
2421,West North Central,MO,Perry,17318,6.4,15861,6744,105529,188
2422,West North Central,MO,Pettis,36641,12.5,16219,13572,265400,223
2423,West North Central,MO,Phelps,37477,18.3,15284,9557,298271,216
2424,West North Central,MO,Pike,16200,10.6,15326,3350,73469,169
2425,West North Central,MO,Platte,66529,25.6,22491,23698,356841,371
2426,West North Central,MO,Polk,24501,12,13789,5219,133585,185
2427,West North Central,MO,Pulaski,38516,12.8,13925,5769,181013,278
2428,West North Central,MO,Putnam,5094,8.7,13483,726,14803,134
2429,West North Central,MO,Ralls,8789,7.8,17290,1761,16466,177
2430,West North Central,MO,Randolph,23924,10.8,16470,6408,147309,185
2431,West North Central,MO,Ray,22368,8.4,14582,2509,64833,224
2432,West North Central,MO,Reynolds,6733,6.5,12279,1624,14430,147
2433,West North Central,MO,Ripley,13450,6.1,11396,1652,49628,143
2434,West North Central,MO,Saline,23022,11.9,16681,6566,117978,197
2435,West North Central,MO,Schuyler,4333,8,13336,356,22958,136
2436,West North Central,MO,Scotland,4846,8.5,15470,960,22012,140
2437,West North Central,MO,Scott,40303,9.5,15485,12257,267686,201
2438,West North Central,MO,Shannon,8070,6,11029,1200,15001,125
2439,West North Central,MO,Shelby,6884,8,16560,1279,26273,138
2440,West North Central,MO,St. Charles,248327,21.2,20057,64556,1668008,395
2441,West North Central,MO,St. Clair,8880,7.9,13915,1178,37620,141
2442,West North Central,MO,St. Francois,53254,9.1,13597,13115,319257,224
2443,West North Central,MO,St. Louis,1007834,29.2,28186,516683,10008830,397
2444,West North Central,MO,St. Louis City,358704,15.3,20677,264751,2173410,252
2445,West North Central,MO,Ste. Genevieve,16643,7.4,14833,4740,66276,192
2446,West North Central,MO,Stoddard,29573,8.2,14994,7909,201427,160
2447,West North Central,MO,Stone,25079,11.1,16641,3914,84016,217
2448,West North Central,MO,Sullivan,6553,6.8,13285,1532,20251,144
2449,West North Central,MO,Taney,32260,14.3,17566,12484,346580,225
2450,West North Central,MO,Texas,22186,7,12273,4606,114967,149
2451,West North Central,MO,Vernon,19299,13.1,15447,5319,104741,179
2452,West North Central,MO,Warren,22574,9.1,15967,4902,95745,259
2453,West North Central,MO,Washington,21907,5.7,11637,1950,73696,180
2454,West North Central,MO,Wayne,12646,5.9,11320,1765,43798,156
2455,West North Central,MO,Webster,26810,8.5,13283,4109,97490,190
2456,West North Central,MO,Worth,2346,8.7,14363,341,6017,118
2457,West North Central,MO,Wright,18702,7.4,11853,4079,84182,156
2458,West North Central,ND,Adams,2593,11.2,17184,820,24276,189
2459,West North Central,ND,Barnes,12042,15.4,14829,3789,80559,198
2460,West North Central,ND,Benson,6990,9.2,12551,894,10255,132
2461,West North Central,ND,Billings,1157,12.6,17411,93,1393,222
2462,West North Central,ND,Bottineau,7706,14.3,17138,1501,43942,193
2463,West North Central,ND,Bowman,3229,13.9,20286,920,21580,171
2464,West North Central,ND,Burke,2501,8.7,18115,362,12008,160
2465,West North Central,ND,Burleigh,64807,25.1,19359,29260,606185,315
2466,West North Central,ND,Cass,111440,26.5,19596,57392,1110753,315
2467,West North Central,ND,Cavalier,5474,12.6,16261,1171,35951,193
2468,West North Central,ND,Dickey,5775,16,15842,1530,32615,180
2469,West North Central,ND,Divide,2558,12.8,16503,586,12845,172
2470,West North Central,ND,Dunn,3790,10.1,13874,1047,14442,145
2471,West North Central,ND,Eddy,2851,11,15861,489,7734,207
2472,West North Central,ND,Emmons,4564,9,14627,1018,18033,143
2473,West North Central,ND,Foster,3892,12.1,16992,1039,24312,189
2474,West North Central,ND,Golden Valley,1962,15.7,15252,415,18149,191
2475,West North Central,ND,Grand Forks,71879,25.8,16405,24148,705258,320
2476,West North Central,ND,Grant,3235,8.9,11946,394,10925,139
2477,West North Central,ND,Griggs,3036,12.1,14238,757,8062,163
2478,West North Central,ND,Hettinger,3020,12.2,16353,432,10788,140
2479,West North Central,ND,Kidder,3036,11.3,13861,396,9339,139
2480,West North Central,ND,La Moure,5026,12.4,13971,853,13623,147
2481,West North Central,ND,Logan,2477,9.3,15747,396,9523,143
2482,West North Central,ND,McHenry,6322,9.7,14692,660,14859,143
2483,West North Central,ND,McIntosh,3649,9.5,14982,897,21626,141
2484,West North Central,ND,McKenzie,5779,14.2,16122,1019,16515,155
2485,West North Central,ND,McLean,9847,11.9,16775,1850,29146,178
2486,West North Central,ND,Mercer,9466,11.2,19796,3313,43418,215
2487,West North Central,ND,Morton,24633,13.8,15624,6433,156274,265
2488,West North Central,ND,Mountrial,6797,12.9,17350,1394,33592,143
2489,West North Central,ND,Nelson,4065,10.6,16149,845,14100,151
2490,West North Central,ND,Oliver,2186,10.8,16374,473,1285,176
2491,West North Central,ND,Pembina,8791,13.1,19220,2929,64187,191
2492,West North Central,ND,Pierce,4675,13.4,20151,1380,33245,204
2493,West North Central,ND,Ramsey,12680,16.3,16705,4373,123436,241
2494,West North Central,ND,Ransom,5887,11.1,15764,1368,21676,171
2495,West North Central,ND,Renville,2843,9.8,17304,520,13060,198
2496,West North Central,ND,Richland,18177,13,15035,5763,99521,235
2497,West North Central,ND,Rolette,13779,11.7,11586,2335,49704,108
2498,West North Central,ND,Sargent,4564,9.7,17688,1517,11810,157
2499,West North Central,ND,Sheridan,1895,8.2,14377,172,4893,140
2500,West North Central,ND,Sioux,3994,9.9,9272,494,0,122
2501,West North Central,ND,Slope,821,10.4,15599,47,0,99
2502,West North Central,ND,Stark,22434,14.8,15357,6846,200770,226
2503,West North Central,ND,Steele,2312,13.7,14501,277,8897,162
2504,West North Central,ND,Stutsman,21457,16.7,16741,8260,171152,246
2505,West North Central,ND,Towner,3212,12.7,15452,785,10542,206
2506,West North Central,ND,Traill,8695,17.7,15843,2347,39844,213
2507,West North Central,ND,Walsh,12789,13,17006,3457,73792,218
2508,West North Central,ND,Ward,58778,19,17154,17983,528190,278
2509,West North Central,ND,Wells,5254,11.3,18541,1159,24318,168
2510,West North Central,ND,Williams,20546,14.3,16975,6611,157066,212
2511,West North Central,NE,Adams,29728,15.6,19187,12642,233408,250
2512,West North Central,NE,Antelope,7502,9.9,16325,1393,34250,137
2513,West North Central,NE,Arthur,440,13.8,15890,37,0,132
2514,West North Central,NE,Banner,848,12,20488,28,0,125
2515,West North Central,NE,Blaine,667,15.8,20979,39,0,99
2516,West North Central,NE,Boone,6517,9.4,18731,1297,29152,155
2517,West North Central,NE,Box Butte,13006,13,21331,2932,67614,223
2518,West North Central,NE,Boyd,2763,9.9,15472,319,8358,126
2519,West North Central,NE,Brown,3652,11.3,18021,712,22406,180
2520,West North Central,NE,Buffalo,39516,23.7,17317,15861,346360,255
2521,West North Central,NE,Burt,7970,13.5,16039,1260,32018,161
2522,West North Central,NE,Butler,8591,8,17458,1362,22666,188
2523,West North Central,NE,Cass,22913,13.6,18301,2979,85140,245
2524,West North Central,NE,Cedar,10071,10.3,14996,1630,37446,145
2525,West North Central,NE,Chase,4287,15.1,21253,1008,28816,180
2526,West North Central,NE,Cherry,6374,13.1,16243,1221,50092,193
2527,West North Central,NE,Cheyenne,9573,15.1,20241,2941,270679,199
2528,West North Central,NE,Clay,7132,11.7,18859,1145,21851,167
2529,West North Central,NE,Colfax,10140,8.5,16249,3158,37446,189
2530,West North Central,NE,Cuming,10147,11.8,20024,2975,51246,179
2531,West North Central,NE,Custer,12258,10.8,18984,2490,64106,154
2532,West North Central,NE,Dakota,18206,11.7,15748,10054,93867,267
2533,West North Central,NE,Dawes,9140,23.1,15312,1888,63388,204
2534,West North Central,NE,Dawson,22688,12.3,18765,8339,158446,199
2535,West North Central,NE,Deuel,2119,12.9,21019,431,8950,157
2536,West North Central,NE,Dixon,6282,11,16381,1510,13067,162
2537,West North Central,NE,Dodge,34722,13.5,17977,11973,364241,236
2538,West North Central,NE,Douglas,434147,24.9,23322,261620,3939355,333
2539,West North Central,NE,Dundy,2441,13,23097,432,5866,144
2540,West North Central,NE,Fillmore,6966,11.9,22231,1521,28631,169
2541,West North Central,NE,Franklin,3715,11.8,17187,476,10534,139
2542,West North Central,NE,Frontier,3168,10.5,15617,397,7072,155
2543,West North Central,NE,Furnas,5658,12,17987,1156,30525,135
2544,West North Central,NE,Gage,22848,11.3,18222,6859,148865,205
2545,West North Central,NE,Garden,2240,13.9,19854,368,9936,154
2546,West North Central,NE,Garfield,2066,12.9,18554,472,12684,140
2547,West North Central,NE,Gosper,2150,13.9,20141,185,2327,168
2548,West North Central,NE,Grant,777,14.6,16461,74,2041,168
2549,West North Central,NE,Greeley,2958,11.5,15711,412,8775,136
2550,West North Central,NE,Hall,51178,14.6,18584,24505,527424,253
2551,West North Central,NE,Hamilton,9305,13,18477,2341,30292,196
2552,West North Central,NE,Harlan,3689,12.9,17293,693,14661,158
2553,West North Central,NE,Hayes,1140,10.7,26921,85,0,142
2554,West North Central,NE,Hitchcock,3427,12.1,17930,288,9048,158
2555,West North Central,NE,Holt,12387,12.8,18523,2533,74986,169
2556,West North Central,NE,Hooker,733,13.5,21372,152,2603,158
2557,West North Central,NE,Howard,6339,8.6,14732,751,22329,165
2558,West North Central,NE,Jefferson,8445,12.7,17612,2327,51736,153
2559,West North Central,NE,Johnson,4583,8.5,16240,1196,27229,159
2560,West North Central,NE,Kearney,6638,17.9,20016,1375,21169,213
2561,West North Central,NE,Keith,8622,13.1,16864,2687,94912,198
2562,West North Central,NE,Keya Paha,1020,8.1,17071,50,1853,117
2563,West North Central,NE,Kimball,4143,12.7,19962,1243,22999,197
2564,West North Central,NE,Knox,9409,8.8,15287,1535,39063,132
2565,West North Central,NE,Lancaster,228638,27.6,20130,99497,1781180,322
2566,West North Central,NE,Lincoln,33468,14.2,18139,8676,260882,213
2567,West North Central,NE,Logan,853,13.4,18151,60,1587,176
2568,West North Central,NE,Loup,695,9.8,11063,19,0,121
2569,West North Central,NE,Madison,34341,13.2,17894,16428,303995,249
2570,West North Central,NE,McPherson,544,9,19362,15,0,117
2571,West North Central,NE,Merrick,8156,11.7,16360,1466,34850,176
2572,West North Central,NE,Morrill,5347,12.7,19906,678,15401,175
2573,West North Central,NE,Nance,4241,10.7,17339,575,8968,149
2574,West North Central,NE,Nemaha,8033,18.5,18424,1653,37183,183
2575,West North Central,NE,Nuckolls,5569,10.1,17618,1406,28533,139
2576,West North Central,NE,Otoe,14346,13.1,16937,3963,87607,208
2577,West North Central,NE,Pawnee,3322,11.1,17635,399,8665,127
2578,West North Central,NE,Perkins,3265,16.7,20565,728,9888,177
2579,West North Central,NE,Phelps,9982,15.5,21237,3531,61005,198
2580,West North Central,NE,Pierce,7874,9.1,16076,1246,30181,162
2581,West North Central,NE,Platte,30651,12.8,18341,13021,232383,250
2582,West North Central,NE,Polk,5659,12.4,19698,938,18423,160
2583,West North Central,NE,Red Willow,11416,14.9,17682,4042,116746,215
2584,West North Central,NE,Richardson,9696,11.7,17668,2321,47890,145
2585,West North Central,NE,Rock,1870,10.1,21111,426,9088,147
2586,West North Central,NE,Saline,12938,12.6,17109,5037,77180,229
2587,West North Central,NE,Sarpy,111806,25.4,17341,20813,474462,411
2588,West North Central,NE,Saunders,19010,12,16605,2913,83077,217
2589,West North Central,NE,Scotts Bluff,37161,13.9,18223,12377,297748,231
2590,West North Central,NE,Seward,16267,14.8,18421,4835,81787,234
2591,West North Central,NE,Sheridan,6704,15.5,17012,1286,44772,178
2592,West North Central,NE,Sherman,3584,11.4,16341,430,14545,142
2593,West North Central,NE,Sioux,1619,17.8,13129,64,2311,171
2594,West North Central,NE,Stanton,6229,7.6,15887,498,5213,198
2595,West North Central,NE,Thayer,6393,10.2,19009,1584,32349,162
2596,West North Central,NE,Thomas,848,11.4,19224,100,3246,172
2597,West North Central,NE,Thurston,7199,8.8,12356,1266,16730,127
2598,West North Central,NE,Valley,4914,11.6,18479,1201,26211,160
2599,West North Central,NE,Washington,17755,15.4,20098,4391,107023,240
2600,West North Central,NE,Wayne,9561,19.8,14813,2354,43467,209
2601,West North Central,NE,Webster,4137,10.3,19304,677,13555,138
2602,West North Central,NE,Wheeler,953,12.1,27346,94,515,125
2603,West North Central,NE,York,14624,13,19764,5622,121176,227
2604,West North Central,SD,Aurora,3091,11,13470,476,9630,128
2605,West North Central,SD,Beadle,18143,15.1,18287,6130,115207,198
2606,West North Central,SD,Bennett,3313,10.4,13961,511,14121,164
2607,West North Central,SD,Bon Homme,7008,11.3,16105,1437,29335,141
2608,West North Central,SD,Brookings,26450,27.3,15772,8272,152001,254
2609,West North Central,SD,Brown,35734,20.7,19391,14514,351729,243
2610,West North Central,SD,Brule,5633,14.9,16087,1850,71469,179
2611,West North Central,SD,Buffalo,1832,4.2,12023,99,0,99
2612,West North Central,SD,Butte,8896,12.3,13889,1477,49160,195
2613,West North Central,SD,Campbell,1881,10.7,21184,362,8362,135
2614,West North Central,SD,Charles Mix,9479,9.9,15815,2603,37526,127
2615,West North Central,SD,Clark,4382,9.8,17825,569,10069,131
2616,West North Central,SD,Clay,13606,36.3,14521,2200,56949,240
2617,West North Central,SD,Codington,24829,12.9,18011,10903,227940,228
2618,West North Central,SD,Corson,4258,10.5,11710,251,9750,106
2619,West North Central,SD,Custer,6675,17.5,16916,1042,34323,220
2620,West North Central,SD,Davison,17823,14.8,18915,7961,178330,215
2621,West North Central,SD,Day,6713,11.3,15493,1559,28919,156
2622,West North Central,SD,Deuel,4449,9.7,14123,737,15436,171
2623,West North Central,SD,Dewey,5783,10.4,11284,649,18885,99
2624,West North Central,SD,Douglas,3615,11.2,15090,714,10622,133
2625,West North Central,SD,Edmunds,4344,11.3,18327,617,16588,140
2626,West North Central,SD,Fall River,7089,16.3,16930,1620,39518,205
2627,West North Central,SD,Faulk,2592,10.6,20940,320,10566,140
2628,West North Central,SD,Grant,8237,9.3,16423,2578,59522,186
2629,West North Central,SD,Gregory,5112,11.8,17677,938,20348,136
2630,West North Central,SD,Haakon,2548,12.7,22341,630,16777,168
2631,West North Central,SD,Hamlin,5372,11.2,14685,693,8166,131
2632,West North Central,SD,Hand,4202,12.8,21174,880,20762,153
2633,West North Central,SD,Hanson,2935,15.3,11941,233,7818,152
2634,West North Central,SD,Harding,1542,16.2,17354,174,4308,150
2635,West North Central,SD,Hughes,15537,25.6,19686,5664,149924,272
2636,West North Central,SD,Hutchinson,8016,11.3,16330,2126,38872,141
2637,West North Central,SD,Hyde,1675,14.5,19471,360,3930,140
2638,West North Central,SD,Jackson,2867,10.9,10175,265,16244,135
2639,West North Central,SD,Jerauld,2338,11.3,21716,426,13580,140
2640,West North Central,SD,Jones,1318,14.4,23396,234,19147,170
2641,West North Central,SD,Kingsbury,5745,11.6,16829,1194,20770,146
2642,West North Central,SD,Lake,10797,18.5,16789,2951,85181,186
2643,West North Central,SD,Lawrence,22452,19.2,16715,9813,183755,250
2644,West North Central,SD,Lincoln,17666,16.4,18440,3072,57651,207
2645,West North Central,SD,Lyman,3779,10.5,18700,323,9683,135
2646,West North Central,SD,Marshall,4714,10.2,20281,1153,11630,143
2647,West North Central,SD,McCook,5824,11.9,14999,1164,22877,155
2648,West North Central,SD,McPherson,3036,10,17628,464,0,127
2649,West North Central,SD,Meade,23084,16.4,16461,3699,79306,246
2650,West North Central,SD,Mellette,2002,12.3,12769,136,3785,128
2651,West North Central,SD,Miner,3064,10.3,16800,882,9380,138
2652,West North Central,SD,Minnehaha,135641,21.3,21345,79557,1463704,331
2653,West North Central,SD,Moody,6616,13.9,16731,1391,20580,165
2654,West North Central,SD,Pennington,87304,21.2,18077,33379,880209,320
2655,West North Central,SD,Perkins,3703,12.7,21403,918,18702,142
2656,West North Central,SD,Potter,2990,12.3,20604,719,11945,157
2657,West North Central,SD,Roberts,9949,10.4,13499,2039,45981,132
2658,West North Central,SD,Sanborn,2798,16.4,17551,387,9685,129
2659,West North Central,SD,Shannon,11675,10.7,7517,997,13117,108
2660,West North Central,SD,Spink,7844,12.7,22041,1140,33725,160
2661,West North Central,SD,Stanley,2823,14.6,18761,506,15187,240
2662,West North Central,SD,Sully,1573,12.9,39707,222,15656,174
2663,West North Central,SD,Todd,9105,11.8,8455,874,15172,110
2664,West North Central,SD,Tripp,6902,9.6,16688,1426,42772,175
2665,West North Central,SD,Turner,8603,12.5,18702,1145,26428,145
2666,West North Central,SD,Union,11225,13.9,18846,5060,31363,180
2667,West North Central,SD,Walworth,5834,14.5,18856,1709,46502,207
2668,West North Central,SD,Yankton,20754,18.6,18018,9250,197121,224
2669,West North Central,SD,Ziebach,2215,8.5,13267,168,0,99
2670,West South Central,AR,Arkansas,21032,10.3,16099,7697,137493,179
2671,West South Central,AR,Ashley,24651,9.3,15398,8028,113399,182
2672,West South Central,AR,Baxter,35666,10.4,15907,10082,241459,240
2673,West South Central,AR,Benton,120932,14.4,18411,45935,723812,286
2674,West South Central,AR,Boone,31364,10.7,15134,12598,243806,230
2675,West South Central,AR,Bradley,11650,9.8,15717,2910,59565,132
2676,West South Central,AR,Calhoun,5801,7.4,12621,874,11129,177
2677,West South Central,AR,Carroll,21933,11.6,15098,7621,144058,227
2678,West South Central,AR,Chicot,15289,8.3,12902,2769,48197,140
2679,West South Central,AR,Clark,22101,17.9,14376,6878,161702,185
2680,West South Central,AR,Clay,17601,5.2,13810,4229,72189,149
2681,West South Central,AR,Cleburne,21865,9.4,14058,4246,115153,200
2682,West South Central,AR,Cleveland,8084,7.8,13327,677,11191,129
2683,West South Central,AR,Columbia,25670,13.1,14953,8060,152594,172
2684,West South Central,AR,Conway,19671,9.8,15087,5207,118056,179
2685,West South Central,AR,Craighead,74794,16.4,15740,27004,651842,261
2686,West South Central,AR,Crawford,48100,7.6,12819,9873,194952,218
2687,West South Central,AR,Crittenden,49889,9.8,14498,11878,345775,228
2688,West South Central,AR,Cross,19370,8,14363,4519,99083,176
2689,West South Central,AR,Dallas,9493,8.8,15235,2812,53873,162
2690,West South Central,AR,Desha,15487,10.4,13284,4332,96592,144
2691,West South Central,AR,Drew,17853,13.9,13660,5359,109634,179
2692,West South Central,AR,Faulkner,71758,17.9,16324,20714,412533,247
2693,West South Central,AR,Franklin,16122,8.8,13123,2833,53727,181
2694,West South Central,AR,Fulton,10732,5.4,10980,1387,20204,152
2695,West South Central,AR,Garland,81049,14.2,17946,25861,689229,235
2696,West South Central,AR,Grant,15022,9.3,14982,2860,50774,200
2697,West South Central,AR,Greene,34620,9.1,13424,10018,199188,199
2698,West South Central,AR,Hempstead,22194,9.3,13769,6257,127212,188
2699,West South Central,AR,Hot Spring,27876,9,12952,5106,138866,179
2700,West South Central,AR,Howard,13655,8.3,16766,6748,67928,187
2701,West South Central,AR,Independence,32752,10.3,15245,13147,229733,186
2702,West South Central,AR,Izard,12619,9.4,12906,2038,51755,146
2703,West South Central,AR,Jackson,18622,6.7,14761,4665,116105,151
2704,West South Central,AR,Jefferson,84042,14.6,14890,26302,602330,218
2705,West South Central,AR,Johnson,20508,12,13385,5553,116471,186
2706,West South Central,AR,Lafayette,9213,6.9,11841,1217,22006,138
2707,West South Central,AR,Lawrence,17468,6.1,13212,3764,95274,165
2708,West South Central,AR,Lee,12962,7.4,10677,1310,33512,127
2709,West South Central,AR,Lincoln,14119,5.6,11216,1541,20623,120
2710,West South Central,AR,Little River,13413,8.1,14953,3308,69219,202
2711,West South Central,AR,Logan,21050,6.8,14598,5215,114408,166
2712,West South Central,AR,Lonoke,45966,10,16126,6387,200419,217
2713,West South Central,AR,Madison,12943,8.2,14062,1814,35123,163
2714,West South Central,AR,Marion,13855,8,13190,2406,32980,196
2715,West South Central,AR,Miller,39082,9.5,13887,11387,255312,245
2716,West South Central,AR,Mississippi,50811,10.5,14784,16884,320235,192
2717,West South Central,AR,Monroe,10374,8.4,13670,1791,62096,133
2718,West South Central,AR,Montgomery,8356,7,12716,1033,19616,142
2719,West South Central,AR,Nevada,9996,9.8,13207,1747,35910,153
2720,West South Central,AR,Newton,7989,6.8,10575,462,12431,143
2721,West South Central,AR,Ouachita,28580,12.2,14562,9153,187159,189
2722,West South Central,AR,Perry,8823,6.2,13123,511,14351,158
2723,West South Central,AR,Phillips,27386,9.2,12607,5749,133718,135
2724,West South Central,AR,Pike,10332,8.5,15430,1920,49954,162
2725,West South Central,AR,Poinsett,24640,5.6,13293,4885,106336,129
2726,West South Central,AR,Polk,18832,9.9,13916,4465,80450,173
2727,West South Central,AR,Pope,51181,14.7,15783,17741,374747,228
2728,West South Central,AR,Prairie,9312,7.2,12613,1267,39826,131
2729,West South Central,AR,Pulaski,352240,23.5,20746,190807,3614397,303
2730,West South Central,AR,Randolph,17430,7.9,12122,4841,68916,161
2731,West South Central,AR,Saline,73604,11.9,15879,10615,397093,241
2732,West South Central,AR,Scott,10628,5.9,13403,2521,42536,169
2733,West South Central,AR,Searcy,7626,7.5,11353,1613,27528,135
2734,West South Central,AR,Sebastian,104402,14.6,18407,62982,1020300,244
2735,West South Central,AR,Sevier,14501,7.2,15501,4441,82362,176
2736,West South Central,AR,Sharp,16172,8.7,12359,2296,72532,181
2737,West South Central,AR,St. Francis,27859,8.5,12735,6377,175787,158
2738,West South Central,AR,Stone,10784,9.4,12218,1876,53339,150
2739,West South Central,AR,Union,46191,12.7,18276,17756,320458,196
2740,West South Central,AR,Van Buren,15198,10.5,12392,2320,70966,190
2741,West South Central,AR,Washington,131708,20,17379,52265,1144216,274
2742,West South Central,AR,White,61016,10.9,13705,16250,372918,194
2743,West South Central,AR,Woodruff,9121,7.5,14934,1770,25797,127
2744,West South Central,AR,Yell,18739,7.4,15613,5392,74706,182
2745,West South Central,LA,Acadia,57380,8.4,12989,10786,206455,148
2746,West South Central,LA,Allen,23615,6.7,10676,3174,76036,138
2747,West South Central,LA,Ascension,65847,9.3,17021,18867,426874,218
2748,West South Central,LA,Assumption,22859,6.7,12986,2225,64130,168
2749,West South Central,LA,Avoyelles,40115,7.4,11722,6533,174394,118
2750,West South Central,LA,Beauregard,31788,13,15462,5769,169431,221
2751,West South Central,LA,Bienville,15812,9.3,13743,4152,57675,111
2752,West South Central,LA,Bossier,90886,15.5,16611,18894,572685,289
2753,West South Central,LA,Caddo,246697,18.2,18775,99057,1961831,264
2754,West South Central,LA,Calcasieu,175868,14.7,16690,56148,1288561,248
2755,West South Central,LA,Caldwell,10198,9.3,13595,1587,58009,135
2756,West South Central,LA,Cameron,8801,7.9,13849,2229,31010,199
2757,West South Central,LA,Catahoula,11175,8.7,12415,1325,38473,112
2758,West South Central,LA,Claiborne,17261,10.1,12839,2636,57926,100
2759,West South Central,LA,Concordia,21055,9.1,12712,3088,95997,125
2760,West South Central,LA,De Soto,25174,9.5,14717,3820,98888,134
2761,West South Central,LA,East Baton Rouge,397364,27.5,19288,171483,3341305,287
2762,West South Central,LA,East Carroll,9506,10.3,11417,1179,26902,99
2763,West South Central,LA,East Feliciana,20554,8.9,13724,8651,32526,149
2764,West South Central,LA,Evangeline,33843,8.3,12672,5441,126332,122
2765,West South Central,LA,Franklin,22270,10.3,12402,4003,116946,131
2766,West South Central,LA,Grant,18270,9.6,12675,1957,29439,165
2767,West South Central,LA,Iberia,71291,9,15031,20640,482029,189
2768,West South Central,LA,Iberville,31073,8.9,15141,10448,160175,155
2769,West South Central,LA,Jackson,15722,9.2,14292,3079,63299,126
2770,West South Central,LA,Jefferson,457333,18.8,19100,186995,4511107,334
2771,West South Central,LA,Jefferson Davis,31725,8,12480,5529,166464,162
2772,West South Central,LA,La Salle,13894,7.9,13744,3548,65219,148
2773,West South Central,LA,Lafayette,179689,22.5,18153,77354,1655186,245
2774,West South Central,LA,LaFourche,87577,10,13919,18185,432594,202
2775,West South Central,LA,Lincoln,43140,26.2,15153,12735,253999,243
2776,West South Central,LA,Livingston,80572,8.7,14737,8389,284691,228
2777,West South Central,LA,Madison,12688,9.2,11747,2138,53641,99
2778,West South Central,LA,Morehouse,32052,10.5,14337,6771,184060,156
2779,West South Central,LA,Natchitoches,37861,16.4,13428,7545,215691,194
2780,West South Central,LA,Orleans,481913,22.4,19800,208852,2982855,277
2781,West South Central,LA,Ouachita,146826,18.9,15586,52777,1230316,235
2782,West South Central,LA,Plaquemines,25693,7.5,15845,11599,162833,298
2783,West South Central,LA,Pointe Coupee,23265,9.7,13920,3476,100981,130
2784,West South Central,LA,Rapides,127167,14.6,16579,40743,954907,244
2785,West South Central,LA,Red River,9430,8.7,13816,2016,34112,144
2786,West South Central,LA,Richland,20763,10.7,13754,4433,113379,125
2787,West South Central,LA,Sabine,23659,8.3,13734,4396,100961,139
2788,West South Central,LA,St. Bernard,67297,7.3,15386,11770,350647,294
2789,West South Central,LA,St. Charles,46515,14.8,17999,16544,131890,294
2790,West South Central,LA,St. Helena,9817,7.7,11228,656,10390,130
2791,West South Central,LA,St. James,21038,8.1,15424,5454,61871,114
2792,West South Central,LA,St. John the Baptist,42092,11.4,15136,10013,190960,276
2793,West South Central,LA,St. Landry,82791,9.7,13469,16251,382390,147
2794,West South Central,LA,St. Martin,45997,6.7,11569,9386,159577,160
2795,West South Central,LA,St. Mary,57443,8.3,13590,20659,287854,193
2796,West South Central,LA,St. Tammany,173413,23.1,19078,36933,1108048,327
2797,West South Central,LA,Tangipahoa,93229,12.9,13717,20859,685759,214
2798,West South Central,LA,Tensas,6899,11.7,13360,608,16564,99
2799,West South Central,LA,Terrebonne,101180,9.4,14430,31041,772695,250
2800,West South Central,LA,Union,21541,11,14808,3412,71702,144
2801,West South Central,LA,Vermilion,50746,8.8,13207,9172,230231,169
2802,West South Central,LA,Vernon,55260,10.3,13036,5639,216858,268
2803,West South Central,LA,Washington,43154,8.6,13398,7510,182342,155
2804,West South Central,LA,Webster,42195,10,14840,9442,263427,171
2805,West South Central,LA,West Baton Rouge,20211,9.9,16490,7523,97902,220
2806,West South Central,LA,West Carroll,12138,8.7,11411,1645,40613,125
2807,West South Central,LA,West Feliciana,12679,7.8,10400,2924,35647,164
2808,West South Central,LA,Winn,17028,9,13159,3866,77338,128
2809,West South Central,OK,Adair,19904,9.6,14047,3559,58258,143
